accession	accession_version	strain	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	sra_accessions	authors	abbr_authors	institution
MN488660	MN488660.1	MN488660	2007-11-12	Europe	Netherlands			1620	Homo sapiens		2020-10-12	2020-10-12	SRR10070279	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488661	MN488661.1	MN488661	2007-12-12	Europe	Netherlands			1620	Homo sapiens		2020-10-12	2020-10-12	SRR10070271	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488662	MN488662.1	MN488662	2008-01-24	Europe	Netherlands			1620	Homo sapiens		2020-10-12	2020-10-12	SRR10070267	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488663	MN488663.1	MN488663	2008-03-25	Europe	Netherlands			1620	Homo sapiens		2020-10-12	2020-10-12	SRR10070262	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488664	MN488664.1	MN488664	2017-02-23	Europe	Netherlands			1620	Homo sapiens		2020-10-12	2020-10-12	SRR10070224	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488665	MN488665.1	MN488665	2017-02-28	Europe	Netherlands			1620	Homo sapiens		2020-10-12	2020-10-12	SRR10070220	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488666	MN488666.1	MN488666	2017-03-22	Europe	Netherlands			1620	Homo sapiens		2020-10-12	2020-10-12	SRR10070212	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488667	MN488667.1	MN488667	2006-01-17	Europe	Netherlands			1185	Homo sapiens		2020-10-12	2020-10-12	SRR10070203	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488668	MN488668.1	MN488668	2006-02-06	Europe	Netherlands			1185	Homo sapiens		2020-10-12	2020-10-12	SRR10070314	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488669	MN488669.1	MN488669	2006-03-01	Europe	Netherlands			1185	Homo sapiens		2020-10-12	2020-10-12	SRR10070337	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488670	MN488670.1	MN488670	2007-02-21	Europe	Netherlands			1185	Homo sapiens		2020-10-12	2020-10-12	SRR10070228	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488671	MN488671.1	MN488671	2007-11-12	Europe	Netherlands			1185	Homo sapiens		2020-10-12	2020-10-12	SRR10070279	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488672	MN488672.1	MN488672	2007-12-12	Europe	Netherlands			1185	Homo sapiens		2020-10-12	2020-10-12	SRR10070271	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488673	MN488673.1	MN488673	2008-01-24	Europe	Netherlands			1185	Homo sapiens		2020-10-12	2020-10-12	SRR10070267	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488674	MN488674.1	MN488674	2008-03-25	Europe	Netherlands			1185	Homo sapiens		2020-10-12	2020-10-12	SRR10070262	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488675	MN488675.1	MN488675	2017-02-23	Europe	Netherlands			1125	Homo sapiens		2020-10-12	2020-10-12	SRR10070224	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488676	MN488676.1	MN488676	2017-02-28	Europe	Netherlands			1124	Homo sapiens		2020-10-12	2020-10-12	SRR10070220	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN488677	MN488677.1	MN488677	2017-03-22	Europe	Netherlands			1185	Homo sapiens		2020-10-12	2020-10-12	SRR10070212	Janssens,T.K.S.,Zhan,S.H.,Overduin,P.,Alamouti,S.M.,Kwok,B.S.,Schmitz,D.,Qadir,M.A.,Meijer,A.	Janssens et al.	RIVM, Centre for Infectious Disease Research, Diagnostics and Screening (IDS) Department of Endemic and Emerging Viruses (EEV)
MN617398	MN617398.1	NSVH2015-01-39629	2014-12-30	Europe	Spain			546	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617399	MN617399.1	NSVH2015-03-49921	2015-01-16	Europe	Spain			546	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617400	MN617400.1	NSVH2015-05-57013	2015-01-30	Europe	Spain			618	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617401	MN617401.1	NSVH2015-07-26458	2015-02-11	Europe	Spain			552	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617402	MN617402.1	NSVH2015-07-27595	2015-02-13	Europe	Spain			618	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617403	MN617403.1	NSVH2015-07-28184	2015-02-15	Europe	Spain			579	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617404	MN617404.1	NSVH2015-10-78755	2015-03-06	Europe	Spain			603	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617405	MN617405.1	NSVH2015-10-78935	2015-03-06	Europe	Spain			588	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617406	MN617406.1	NSVH2015-11-80831	2015-03-09	Europe	Spain			588	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617407	MN617407.1	NSVH2015-11-82099	2015-03-11	Europe	Spain			588	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617408	MN617408.1	NSVH2015-13-88982	2015-03-23	Europe	Spain			609	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617409	MN617409.1	NSVH2015-13-89017	2015-03-23	Europe	Spain			588	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617410	MN617410.1	NSVH2015-13-89956	2015-03-25	Europe	Spain			552	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617411	MN617411.1	NSVH2015-13-92347	2015-03-29	Europe	Spain			609	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617412	MN617412.1	NSVH2015-14-92438	2015-03-30	Europe	Spain			546	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617413	MN617413.1	NSVH2015-14-92585	2015-03-30	Europe	Spain			588	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617414	MN617414.1	NSVH2015-14-94993	2015-04-03	Europe	Spain			552	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617415	MN617415.1	NSVH2015-14-95507	2015-04-04	Europe	Spain			552	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617416	MN617416.1	NSVH2015-14-96020	2015-04-05	Europe	Spain			609	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617417	MN617417.1	NSVH2015-15-96829	2015-04-07	Europe	Spain			618	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617418	MN617418.1	NSVH2015-15-99699	2015-04-12	Europe	Spain			546	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617419	MN617419.1	NSVH2015-15-99800	2015-04-12	Europe	Spain			546	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617420	MN617420.1	NSVH2015-17-04680	2015-04-22	Europe	Spain			552	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617421	MN617421.1	NSVH2015-17-06660	2015-04-25	Europe	Spain			618	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617422	MN617422.1	NSVH2015-17-56857	2015-04-22	Europe	Spain			552	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617423	MN617423.1	NSVH2015-19-12367	2015-05-05	Europe	Spain			618	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617424	MN617424.1	NSVH2015-21-69194	2015-05-21	Europe	Spain			618	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617425	MN617425.1	NSVH2015-22-53867	2015-05-29	Europe	Spain			618	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617426	MN617426.1	NSVH2015-44-02698	2015-10-29	Europe	Spain			609	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617427	MN617427.1	NSVH2015-53-39875	2016-01-03	Europe	Spain			552	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617428	MN617428.1	NSVH2016-01-62854	2016-01-07	Europe	Spain			579	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617429	MN617429.1	NSVH2016-01-88066	2016-01-05	Europe	Spain			552	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617430	MN617430.1	NSVH2016-03-51243	2016-01-23	Europe	Spain			588	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617431	MN617431.1	NSVH2016-05-58080	2016-02-04	Europe	Spain			552	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617432	MN617432.1	NSVH2016-05-59204	2016-02-06	Europe	Spain			615	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617433	MN617433.1	NSVH2016-05-59748	2016-02-07	Europe	Spain			609	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617434	MN617434.1	NSVH2016-05-59872	2016-02-07	Europe	Spain			588	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617435	MN617435.1	NSVH2016-06-60094	2016-02-08	Europe	Spain			552	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617436	MN617436.1	NSVH2016-06-60114	2016-02-08	Europe	Spain			609	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617437	MN617437.1	NSVH2016-07-64368	2016-02-15	Europe	Spain			618	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617438	MN617438.1	NSVH2016-07-64963	2016-02-16	Europe	Spain			618	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617439	MN617439.1	NSVH2016-08-68545	2016-02-22	Europe	Spain			732	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617440	MN617440.1	NSVH2016-08-69503	2016-02-23	Europe	Spain			732	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617441	MN617441.1	NSVH2016-08-70085	2016-02-24	Europe	Spain			732	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617442	MN617442.1	NSVH2016-08-70481	2016-02-24	Europe	Spain			732	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617443	MN617443.1	NSVH2016-08-70983	2016-02-25	Europe	Spain			552	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
MN617444	MN617444.1	NSVH2016-08-71904	2016-02-26	Europe	Spain			732	Homo sapiens		2020-07-28	2020-07-28		Pinana,M.,Vila,J.,Maldonado,C.,Galano-Frutos,J.J.,Valls,M.,Sancho,J.,Nuvials,F.X.,Andres,C.,Martin-Gomez,M.T.,Esperalba,J.,Codina,M.G.,Pumarola,T.,Anton,A.	Pinana et al.	Hospital Universitari Vall d'Hebron, Microbiology
